,delta_idx
2076,2983
2077,2988
2078,2989
2079,2999
2080,3006
2081,3012
2082,3015
2083,3017
2084,3020
2085,3025
2086,3039
2087,3043
2088,3051
2089,3052
2090,3058
2091,3064
2092,3065
2093,3071
2094,3077
2095,3082
2096,3085
2097,3087
2098,3097
2099,3100
2100,3101
2101,3104
2102,3108
2103,3111
2104,3112
2105,3114
2106,3117
2107,3120
2108,3122
2109,3123
2110,3124
2111,3129
2112,3130
2113,3135
2114,3136
2115,3140
2116,3149
2117,3153
2118,3155
2119,3156
2120,3157
2121,3162
2122,3176
2123,3181
2124,3184
2125,3188
2126,3190
2127,3199
2128,3202
2129,3217
2130,3220
2131,3223
2132,3230
2133,3237
2134,3245
2135,3247
2136,3250
2137,3257
2138,3262
2139,3263
2140,3267
2141,3269
2142,3272
2143,3278
2144,3284
2145,3287
2146,3292
2147,3298
2148,3300
2149,3309
2150,3310
2151,3312
2152,3316
2153,3318
2154,3322
2155,3325
2156,3328
2157,3338
2158,3344
2159,3347
2160,3350
2161,3352
2162,3360
2163,3361
2164,3366
2165,3367
2166,3368
2167,3382
2168,3384
2169,3391
2170,3395
2171,3396
2172,3402
2173,3404
2174,3406
2175,3409
2176,3412
2177,3425
2178,3429
2179,3431
2180,3432
2181,3439
2182,3441
2183,3444
2184,3446
2185,3447
2186,3448
2187,3449
2188,3451
2189,3452
2190,3456
2191,3459
2192,3461
2193,3462
2194,3467
2195,3470
2196,3473
2197,3485
2198,3489
2199,3492
2200,3494
2201,3503
2202,3515
2203,3529
2204,3532
2205,3535
2206,3540
2207,3543
2208,3545
2209,3549
2210,3550
2211,3551
2212,3556
2213,3561
2214,3565
2215,3566
2216,3567
2217,3570
2218,3571
2219,3580
2220,3585
2221,3592
2222,3597
2223,3606
2224,3608
2225,3609
2226,3611
2227,3612
2228,3614
2229,3616
2230,3618
2231,3619
2232,3622
2233,3623
2234,3625
2235,3626
2236,3628
2237,3629
2238,19
2239,74
2240,76
2241,80
2242,96
2243,106
2244,117
2245,118
2246,122
2247,184
2248,189
2249,201
2250,203
2251,207
2252,222
2253,236
2254,238
2255,250
2256,290
2257,318
2258,322
2259,354
2260,387
2261,401
2262,441
2263,442
2264,444
2265,450
2266,461
2267,462
2268,463
2269,465
2270,467
2271,479
2272,485
2273,508
2274,512
2275,525
2276,534
2277,540
2278,563
2279,570
2280,579
2281,584
2282,589
2283,591
2284,604
2285,615
2286,620
2287,630
2288,647
2289,658
2290,662
2291,676
2292,684
2293,685
2294,713
2295,739
2296,745
2297,769
2298,770
2299,775
2300,783
2301,801
2302,841
2303,853
2304,860
2305,863
2306,879
2307,880
2308,881
2309,892
2310,894
2311,912
2312,996
2313,1009
2314,1035
2315,1052
2316,1056
2317,1060
2318,1070
2319,1073
2320,1080
2321,1084
2322,1110
2323,1114
2324,1118
2325,1134
2326,1140
2327,1146
2328,1151
2329,1159
2330,1164
2331,1165
2332,1166
2333,1169
2334,1173
2335,1180
2336,1184
2337,1212
2338,1226
2339,1228
2340,1245
2341,1254
2342,1255
2343,1284
2344,1293
2345,1296
2346,1308
2347,1314
2348,1322
2349,1327
2350,1331
2351,1337
2352,1343
2353,1359
2354,1364
2355,1366
2356,1372
2357,1392
2358,1413
2359,1414
2360,1436
2361,1442
2362,1448
2363,1454
2364,1459
2365,1461
2366,1473
2367,1475
2368,1481
2369,1483
2370,1504
2371,1507
2372,1525
2373,1527
2374,1529
2375,1539
2376,1542
2377,1552
2378,1554
2379,1563
2380,1570
2381,1571
2382,1574
2383,1575
2384,1602
2385,1613
2386,1615
2387,1621
2388,1624
2389,1625
2390,1638
2391,1655
2392,1668
2393,1670
2394,1671
2395,1682
2396,1685
2397,1717
2398,1720
2399,1726
2400,1749
2401,1753
2402,1756
2403,1768
2404,1771
2405,1776
2406,1786
2407,1787
2408,1792
2409,1823
2410,1853
2411,1860
2412,1863
2413,1868
2414,1871
2415,1883
2416,1887
2417,1890
2418,1891
2419,1906
2420,1910
2421,1916
2422,1917
2423,1920
2424,1924
2425,1925
2426,1958
2427,1971
2428,1984
2429,1993
2430,2013
2431,2022
2432,2023
2433,2025
2434,2029
2435,2031
2436,2055
2437,2057
2438,2060
2439,2074
2440,2076
2441,2078
2442,2079
2443,2081
2444,2087
2445,2089
2446,2096
2447,2102
2448,2104
2449,2131
2450,2143
2451,2174
2452,2185
2453,2202
2454,2205
2455,2207
2456,2212
2457,2219
2458,2236
2459,2245
2460,2259
2461,2260
2462,2265
2463,2267
2464,2286
2465,2300
2466,2308
2467,2318
2468,2319
2469,2327
2470,2330
2471,2346
2472,2347
2473,2351
2474,2364
2475,2365
2476,2366
2477,2371
2478,2375
2479,2394
2480,2416
2481,2424
2482,2430
2483,2431
2484,2434
2485,2443
2486,2444
2487,2446
2488,2485
2489,2489
2490,2493
2491,2497
2492,2509
2493,2514
2494,2524
2495,2531
2496,2533
2497,2552
2498,2556
2499,2558
2500,2563
2501,2579
2502,2582
2503,2587
2504,2589
2505,2594
2506,2595
2507,2596
2508,2598
2509,2600
2510,2607
2511,2609
2512,2614
2513,2618
2514,2622
2515,2626
2516,2632
2517,2635
2518,2639
2519,2647
2520,2668
2521,2681
2522,2683
2523,2688
2524,2695
2525,2699
2526,2706
2527,2720
2528,2722
2529,2734
2530,2736
2531,2745
2532,2751
2533,2753
2534,2755
2535,2756
2536,2776
2537,2783
2538,2792
2539,2794
2540,2802
2541,2813
2542,2815
2543,2817
2544,2818
2545,2823
2546,2833
2547,2834
2548,2836
2549,2840
2550,2850
2551,2861
2552,2878
2553,2880
2554,2886
2555,2896
2556,2900
2557,2905
2558,2907
2559,2916
2560,2945
2561,2949
2562,2959
2563,2962
2564,2975
2565,2991
2566,3000
2567,3002
2568,3008
2569,3021
2570,3027
2571,3056
2572,3061
2573,3062
2574,3070
2575,3076
2576,3078
2577,3093
2578,3099
2579,3106
2580,3127
2581,3131
2582,3133
2583,3134
2584,3147
2585,3161
2586,3165
2587,3171
2588,3172
2589,3179
2590,3180
2591,3189
2592,3204
2593,3210
2594,3214
2595,3226
2596,3243
2597,3252
2598,3253
2599,3255
2600,3256
2601,3257
2602,3259
2603,3270
2604,3271
2605,3274
2606,3276
2607,3280
2608,3281
2609,3285
2610,3292
2611,3313
2612,3326
2613,3341
2614,3346
2615,3348
2616,3365
2617,3395
2618,3399
2619,3420
2620,3423
2621,3430
2622,3434
2623,3440
2624,3463
2625,3465
2626,3468
